id;Unidade Local;CEP;Cidade;Fones;Endereço;UF;Superintendência Regional;Município(s) de Abrangência;
509;Danillo teste 30/08/2023;76954-000;Alta Floresta D'Oeste;(31) 65445454,;Rua dos bobo;RO;;Alta Floresta D'Oeste;
510;Nova Brasilândia D'Oeste;76958-000;Nova Brasilândia D'Oeste;(31) 997910010,;R. Itanhandu, 230;RO;;Nova Brasilândia D'Oeste;
511;Teste de Regressão Ambiente HOMOL - 20/10/2022 - Danillo Lopes - Unidade Local;76994-000;Cabixi;(31) 997910010,;Rua do meio;RO;;Cabixi;
48;UNIDADE LOCAL DE ÁGUA BOA/MT;78635-000;Água Boa;(99) 999999999,;Av. Araguaia;MT;;Água Boa,Alto Boa Vista,Araguaiana,Barra do Garças,Bom Jesus do Araguaia,Canabrava do Norte,Canarana,Cocalinho,Confresa,Nova Nazaré,Nova Xavantina,Porto Alegre do Norte,Querência,Ribeirão Cascalheira,São Félix do Araguaia,Serra Nova Dourada,Vila Rica;
117;UNIDADE LOCAL DE ALTAMIRA/PA;96503776;Cachoeira do Sul;(93) 35151485,;R RUA LEOPOLDO SOUZA 1466;RS;;Vitória do Xingu,Anapu,Brasil Novo,Medicilândia,Pacajá,Placas,Senador José Porfírio,Uruará;
42;UNIDADE LOCAL DE ANÁPOLIS/GO;88020330;Florianópolis;(62) 33141716,;RUA WALDEMIRO MONGUILHOT;SC;;Urutaí,Valparaíso de Goiás,Vianópolis,Abadia de Goiás,Abadiânia,Alexânia,Aparecida de Goiânia,Bela Vista de Goiás,Bonfinópolis,Caldas Novas,Caldazinha,Campinaçu,Campo Alegre de Goiás,Catalão,Cocalzinho de Goiás,Corumbá de Goiás,Cristalina,Cristianópolis,Cumari,Davinópolis,Goiânia,Goiás,Goiatuba,Formoso,Goianápolis,Hidrolândia,Ipameri,Itaberaí,Itaguari,Leopoldo de BulhõEs,Luziânia,Morrinhos,Niquelândia,Palmelo,Panamá,Orizona,Piracanjuba,Pirenópolis,Pires do Rio,Professor Jamil,Santa Cruz de Goiás,Rio Quente,Santo Antônio do Descoberto,Senador Canedo,Silvânia,Terezópolis de Goiás,Trindade;
56;UNIDADE LOCAL DE ANASTÁCIO/MS;79.021-201;Anastácio;(67) 3302-5744,;Av. Mato Grosso;MS;;Anastácio,Aquidauana,Corumbá,Miranda,Ladário;
99;UNIDADE LOCAL DE ARACAJU/SE;49.087-420;Aracaju;(79) 3216-1150,;Av. Maranhão;SE;;Aracaju,Areia Branca,Capela,Carira,Cedro de São João,Cristinápolis,Estância,Frei Paulo,Itabaiana,Itaporanga D'Ajuda,Japaratuba,Lagarto,Laranjeiras,Malhada dos Bois,Maruim,Muribeca,Nossa Senhora do Socorro,Propriá,Riachão do Dantas,Rosário do Catete,Salgado,Santa Luzia do Itanhy,São Cristóvão,São Francisco,Tobias Barreto,Umbaúba;
43;UNIDADE LOCAL DE ARAGARÇAS/GO;76.240-000;Aragarças;(64) 3638-1771,;Rua Itelvita Leão Pinto;GO;;Santa Fé de Goiás,Piranhas,Jussara,Montes Claros de Goiás,Bom Jardim de Goiás,Britânia,Aragarças;
148;UNIDADE LOCAL DE ARAGUAÍNA/TO;77.840-970;Araguaína;(63) 34131448,;BR-153/TO;TO;;Aguiarnópolis,Barra do Ouro,Araguatins,Cachoeirinha,Darcinópolis,Goiatins,Itacajá,Luzinópolis,Palmeiras do Tocantins,Nazaré,Santa Maria do Tocantins,Santa Terezinha do Tocantins,São Bento do Tocantins,Tocantinópolis;
