id;Superintendência Regional;Fones;CEP;Cidade;Endereço;UF;
59;Cadastro de Superintendência 'Regional' Estadual pra 'excluir';(31) 997979797;88040-900;Florianópolis;Rua Roberto Sampaio Gonzaga;SC;
62;DANILLO FRANKLIN LEITE LOPES;(31) 997910012;30710-500;Belo Horizonte;Rua Itanhandu;MG;
56;kryciaf;(11) 11111111;88020-180;Florianópolis;Rua Doutor Álvaro Millen da Silveira;SC;
2;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DA BAHIa;(31) 99791001;46690-000;Abaíra;Rua João Fernandes de Oliveira, 150;BA;
3;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DA PARAÍBA;;58085-010;João Pessoa;Rua Coronel Estevão D'Ávila Lins;PB;
4;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE ALAGOAS;;57030-160;Maceió;Rua Desembargador Almeida Guimarães;AL;
5;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE GOIÁS E NO DISTRITO FEDERAL;(62) 34330500;74543-100;Goiânia;Avenida 24 de Outubro;GO;
6;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE MATO GROSSO;;78020-900;Cuiabá;Rua Treze de Junho;MT;
7;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE MATO GROSSO DO SUL;;79021-003;Campo Grande;Avenida Mato Grosso;MS;
8;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE MINAS GERAIS;(31) 997910010,(33) 33333333;30190-094;Belo Horizonte;Rua Martim de Carvalho;MG;
9;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE PERNAMBUCO;;51010-000;Recife;Avenida Antônio de Góes;PE;
27;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE RONDÔNIA;;76801-119;Porto Velho;Avenida Campos Sales;RO;
10;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE RORAIMA;;69301-130;Boa Vista;Rua Barão do Rio Branco;RR;
11;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE SANTA CATARINA;(11) 11111111,(22) 22222222;88020-180;Florianópolis;Rua Doutor Álvaro Millen da Silveira;SC;
12;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE SÃO PAULO;;02167-000;São Paulo;Rua Ciro Soares de Almeida;SP;
13;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DE SERGIPE;;49087-420;Aracaju;Avenida Maranhão;SE;
14;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO ACRE;(31) 997979797;69900-120;Rio Branco;Rua Rio Grande do Sul;AC;
26;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO AMAPÁ;;68908-901;Macapá;Av. Ernestino Borges;AP;
15;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO AMAZONAS;;69058-775;Manaus;Avenida Recife;AM;
16;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO CEARÁ;;60864-012;Fortaleza;Rodovia BR-116;CE;
17;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO ESPÍRITO SANTO;;29050-625;Vitória;Avenida Marechal Mascarenhas de Moraes;ES;
18;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO MARANHÃO;(11) 11111111;65020-290;São Luís;Rua Jansen Müller;MA;
19;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO PARÁ;;66645-000;Belém;Rodovia BR-316;PA;
20;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO PARANÁ;;82800-000;Curitiba;Avenida Victor Ferreira do Amaral;PR;
21;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO PIAUÍ;;64045-000;Teresina;Avenida João XXIII;PI;
22;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO RIO DE JANEIRO;;20090-070;Rio de Janeiro;Rua Teófilo Otoni;RJ;
23;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO RIO GRANDE DO NORTE;;59056-045;Natal;Avenida Bernardo Vieira;RN;
24;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO RIO GRANDE DO SUL;;90010-000;Porto Alegre;Rua Siqueira Campos;RS;
25;SUPERINTENDÊNCIA REGIONAL DO DNIT NO ESTADO DO TOCANTINS;;77024-002;Palmas;1102 Sul Avenida Joaquim Teotônio Segurado;TO;
60;teste;(55) 55555555;88020-180;Florianópolis;Rua Doutor Álvaro Millen da Silveira;SC;
